POS Tag: DTP
Word: Si | Lemma: Si | a56_181to186_tags.txt | SN:8 | TN:0
Word: Si | Lemma: Si | a56_181to186_tags.txt | SN:14 | TN:0
Word: Si | Lemma: Si | a56_193to197_tags.txt | SN:35 | TN:0
Word: Si | Lemma: Si | a56_211_tags.txt | SN:3 | TN:0
Word: Si | Lemma: Si | a56_214_tags.txt | SN:40 | TN:0
Word: Si | Lemma: Si | a56_235to237_tags.txt | SN:50 | TN:0
Word: Si | Lemma: Si | a56_235to237_tags.txt | SN:59 | TN:0
Word: kay | Lemma: kay | a56_193to197_tags.txt | SN:12 | TN:3
Word: kay | Lemma: kay | a56_181to186_tags.txt | SN:15 | TN:35
Word: kay | Lemma: kay | a56_212_tags.txt | SN:5 | TN:29
Word: kay | Lemma: kay | a56_212_tags.txt | SN:11 | TN:7
Word: kay | Lemma: kay | a56_213_tags.txt | SN:28 | TN:9
Word: kay | Lemma: kay | a56_214_tags.txt | SN:22 | TN:17
Word: kay | Lemma: kay | a56_238to240_tags.txt | SN:5 | TN:7
Word: kay | Lemma: kay | a56_214_tags.txt | SN:45 | TN:7
Word: kay | Lemma: kay | a56_225_tags.txt | SN:25 | TN:17
Word: kay | Lemma: kay | a56_226_tags.txt | SN:23 | TN:7
Word: kay | Lemma: kay | a56_224_tags.txt | SN:29 | TN:3
Word: kay | Lemma: kay | a56_226_tags.txt | SN:11 | TN:29
Word: kay | Lemma: kay | a56_225_tags.txt | SN:12 | TN:4
Word: ni | Lemma: ni | a56_181to186_tags.txt | SN:104 | TN:2
Word: ni | Lemma: ni | a56_181to186_tags.txt | SN:18 | TN:1
Word: ni | Lemma: ni | a56_181to186_tags.txt | SN:6 | TN:58
Word: ni | Lemma: ni | a56_193to197_tags.txt | SN:94 | TN:1
Word: ni | Lemma: ni | a56_253to258_tags.txt | SN:78 | TN:24
Word: ni | Lemma: ni | a56_228_tags.txt | SN:1 | TN:14
Word: ni | Lemma: ni | a56_204_tags.txt | SN:21 | TN:4
Word: ni | Lemma: ni | a56_212_tags.txt | SN:39 | TN:16
Word: ni | Lemma: ni | a56_263_tags.txt | SN:26 | TN:24
Word: ni | Lemma: ni | a56_224_tags.txt | SN:24 | TN:8
Word: ni | Lemma: ni | a56_261_tags.txt | SN:16 | TN:18
Word: ni | Lemma: ni | a56_213_tags.txt | SN:17 | TN:28
Word: ni | Lemma: ni | a56_226_tags.txt | SN:20 | TN:6
Word: ni | Lemma: ni | a56_214_tags.txt | SN:26 | TN:3
Word: ni | Lemma: ni | a56_193to197_tags.txt | SN:56 | TN:4
Word: ni | Lemma: ni | a56_227_tags.txt | SN:7 | TN:14
Word: ni | Lemma: ni | a56_213_tags.txt | SN:26 | TN:4
Word: ni | Lemma: ni | a56_214_tags.txt | SN:38 | TN:2
Word: ni | Lemma: ni | a56_193to197_tags.txt | SN:97 | TN:6
