POS Tag: JJC
Word: Katulad | Lemma: Katulad | lopez_clement_s11_tags.txt | SN:45 | TN:0
Word: Katulad | Lemma: tulad | lopez_clement_s11_tags.txt | SN:50 | TN:0
Word: Kumpara_sa | Lemma: Kumpara_sa | cua_bernice_s11_tags.txt | SN:45 | TN:0
Word: Magparis | Lemma: paris | a56_251_tags.txt | SN:8 | TN:0
Word: Tulad_ng | Lemma: Tulad_ng | a56_260_tags.txt | SN:15 | TN:0
Word: Tulad_sa | Lemma: Tulad_sa | cua_bernice_s11_tags.txt | SN:32 | TN:0
Word: gaya_ng | Lemma: gaya_ng | a56_223_tags.txt | SN:23 | TN:9
Word: gaya_ng | Lemma: gaya_ng | lopez_clement_s11_tags.txt | SN:65 | TN:18
Word: kagaya | Lemma: gaya | a56_193to197_tags.txt | SN:2 | TN:12
Word: kagaya | Lemma: gaya | a56_261_tags.txt | SN:4 | TN:21
Word: kagaya_ng | Lemma: kagaya_ng | a56_181to186_tags.txt | SN:96 | TN:64
Word: kagaya_ng | Lemma: gaya_ng | a56_181to186_tags.txt | SN:34 | TN:32
Word: kagaya_ng | Lemma: gaya_ng | a56_235to237_tags.txt | SN:7 | TN:26
Word: kagaya_ng | Lemma: gaya_ng | a56_249_tags.txt | SN:15 | TN:18
Word: kagaya_ng | Lemma: gaya_ng | a56_260_tags.txt | SN:19 | TN:23
Word: kagaya_ng | Lemma: gaya_ng | a56_263_tags.txt | SN:20 | TN:14
Word: kaparis | Lemma: paris | a56_213_tags.txt | SN:41 | TN:29
Word: kasing | Lemma: kasing | cua_bernice_s11_tags.txt | SN:2 | TN:26
Word: kasing | Lemma: kasing | cua_bernice_s11_tags.txt | SN:7 | TN:10
Word: kasintindi | Lemma: tindi | a56_181to186_tags.txt | SN:13 | TN:9
Word: katugma_ng | Lemma: tugma_ng | a56_253to258_tags.txt | SN:46 | TN:19
Word: katulad | Lemma: tulad | a56_247_tags.txt | SN:13 | TN:21
Word: katulad | Lemma: tulad | a56_247_tags.txt | SN:17 | TN:16
Word: katulad | Lemma: tulad | a56_251_tags.txt | SN:24 | TN:23
Word: katulad | Lemma: tulad | a56_253to258_tags.txt | SN:138 | TN:1
Word: katulad | Lemma: tulad | lopez_clement_s11_tags.txt | SN:4 | TN:29
Word: katulad_ng | Lemma: tulad_ng | a56_238to240_tags.txt | SN:22 | TN:37
Word: katulad_ng | Lemma: tulad_ng | a56_181to186_tags.txt | SN:137 | TN:20
Word: katulad_ng | Lemma: tulad_ng | a56_249_tags.txt | SN:7 | TN:17
Word: katulad_ng | Lemma: tulad_ng | a56_251_tags.txt | SN:2 | TN:13
Word: katulad_ng | Lemma: tulad_ng | a56_248_tags.txt | SN:28 | TN:20
Word: katulad_ng | Lemma: tulad_ng | a56_200_tags.txt | SN:10 | TN:40
Word: katulad_ng | Lemma: tulad_ng | a56_211_tags.txt | SN:1 | TN:49
Word: katulad_ng | Lemma: tulad_ng | a56_247_tags.txt | SN:10 | TN:30
Word: katulad_ng | Lemma: tulad_ng | a56_247_tags.txt | SN:14 | TN:13
Word: katulad_ng | Lemma: tulad_ng | a56_247_tags.txt | SN:19 | TN:28
Word: katulad_ng | Lemma: tulad_ng | a56_253to258_tags.txt | SN:41 | TN:16
Word: katulad_ng | Lemma: tulad_ng | lopez_clement_s11_tags.txt | SN:3 | TN:12
Word: katulad_ng | Lemma: tulad_ng | a56_247_tags.txt | SN:31 | TN:5
